sveitarfelag,ar,staerd,leiguverd,kaupverd,fasteignamat,vextir,afborgun
Borgarbyggð,2022,80-89,179500,34200000,27800000,0.06,149789.5045465363
Borgarbyggð,2022,90-99,205000,39700000,19025000,0.06,173878.459956067
Borgarbyggð,2022,100-109,198500,45000000,30450000,0.06,197091.45335070565
Borgarbyggð,2022,110-150,208000,44200000,30500000,0.06,193587.60529113756
Dalvíkurbyggð,2012,60-69,75000,8950000,6770000,0.0641,41240.19736420386
Dalvíkurbyggð,2012,70-79,75000,8000000,7260000,0.0641,36862.74624733306
Dalvíkurbyggð,2012,90-99,75000,11123000,8860000,0.0641,51253.0408136357
Dalvíkurbyggð,2013,60-69,75000,5800000,6070000,0.0675,27839.161968012173
Dalvíkurbyggð,2013,70-79,90000,8700000,7380000,0.0675,41758.742952018256
Dalvíkurbyggð,2013,110-150,85000,10800000,8230000,0.0675,51838.43952664335
Dalvíkurbyggð,2014,70-79,94000,8966000,8500000,0.06416666666666666,41347.457938839194
Dalvíkurbyggð,2014,110-150,130000,13500000,11000000,0.06416666666666666,62256.377668339184
Dalvíkurbyggð,2015,50-59,85000,10500000,8240000,0.066875,50025.88290553542
Dalvíkurbyggð,2015,60-69,90000,13650000,9530000,0.066875,65033.64777719604
Dalvíkurbyggð,2015,70-79,83000,9300000,9210000,0.066875,44308.6391449028
Dalvíkurbyggð,2015,80-89,70000,9100000,8910000,0.066875,43355.76518479737
Dalvíkurbyggð,2015,100-109,92500,10206000,8760000,0.066875,48625.15818418043
Dalvíkurbyggð,2016,60-69,85000,7850000,8170000,0.06625,37122.40013436937
Dalvíkurbyggð,2016,70-79,80000,9816500,9960000,0.06625,46421.91604064164
Dalvíkurbyggð,2016,80-89,100000,9000000,8930000,0.06625,42560.713529850225
Dalvíkurbyggð,2016,110-150,70000,15500000,12550000,0.06625,73299.00663474205
Dalvíkurbyggð,2017,60-69,65000,13600000,8655000,0.06,59565.41701265771
Dalvíkurbyggð,2017,70-79,92500,11000000,10050000,0.06,48177.910819061384
Dalvíkurbyggð,2017,90-99,110000,14000000,11700000,0.06,61317.34104244176
Dalvíkurbyggð,2017,100-109,112500,14200000,10450000,0.06,62193.30305733378
Dalvíkurbyggð,2017,110-150,120000,14500000,13850000,0.06,63507.24607967182
Dalvíkurbyggð,2018,60-69,75000,16000000,10100000,0.06,70076.961191362
Dalvíkurbyggð,2018,70-79,106500,13825000,9315000,0.06,60550.87427941124
Dalvíkurbyggð,2018,90-99,120000,13075000,11975000,0.06,57266.01672356614
Dalvíkurbyggð,2018,100-109,95000,24500000,14150000,0.06,107305.34682427309
Dalvíkurbyggð,2019,110-150,150000,20000000,17425000,0.053099999999999994,80110.47519953876
Dalvíkurbyggð,2020,60-69,99500,19850000,11175000,0.0405,66638.39738868008
Dalvíkurbyggð,2020,70-79,130000,16100000,12175000,0.0405,54049.27949409317
Dalvíkurbyggð,2020,90-99,143000,21450000,14950000,0.0405,72009.75435703718
Dalvíkurbyggð,2020,100-109,145000,15000000,12600000,0.0405,50356.47157834767
Dalvíkurbyggð,2021,60-69,108500,14000000,14000000,0.037875,45197.22955404145
Dalvíkurbyggð,2021,70-79,122000,23600000,12650000,0.037875,76189.61553395558
Dalvíkurbyggð,2021,80-89,140000,16000000,17100000,0.037875,51653.97663319023
Dalvíkurbyggð,2021,90-99,132500,12000000,14450000,0.037875,38740.48247489268
Dalvíkurbyggð,2021,100-109,130000,22500000,18000000,0.037875,72638.40464042376
Dalvíkurbyggð,2022,70-79,140000,26900000,15000000,0.06,117816.89100297738
Dalvíkurbyggð,2022,90-99,145000,21450000,19175000,0.06,93946.9260971697
Dalvíkurbyggð,2022,100-109,145000,17900000,21600000,0.06,78398.60033283626
Eyjafjarðarsveit,2013,90-99,130000,21700000,17500000,0.0675,104156.86460445932
Eyjafjarðarsveit,2015,90-99,145000,23236000,20550000,0.066875,110704.89668504962
